Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,46512,31.100887985449877,14244,3.329554353034677,14244,2768,257,0,0,165888,3.2918047776888786,4.549283909014322,model_1/Conv1_relu/Relu6;model_1/bn_Conv1/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/Conv1/Conv2D
Conv2D,Relu6,NPU,46512,31.100887985449877,18816,4.398265564918596,18816,6336,0,0,0,36864,0.7315121728197508,0.7653061224489796,model_1/Conv1_relu/Relu6;model_1/bn_Conv1/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/Conv1/Conv2D
DepthwiseConv2D,DepthwiseConv2D,NPU,74048,49.51321279554937,14848,3.4707401736772594,14848,2655,90,0,0,331776,6.583609555377757,8.72844827586207,model_1/expanded_conv_depthwise_relu/Relu6;model_1/expanded_conv_depthwise_BN/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/expanded_conv_depthwise/depthwise
DepthwiseConv2D,Relu6,NPU,74048,49.51321279554937,19456,4.547866434473651,19456,2610,0,0,0,36864,0.7315121728197508,0.7401315789473685,model_1/expanded_conv_depthwise_relu/Relu6;model_1/expanded_conv_depthwise_BN/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/expanded_conv_depthwise/depthwise
Conv2D,Conv2D,NPU,74128,49.56670589493955,4864,1.1369666086184127,4864,2439,180,0,0,294912,5.852097382558006,23.68421052631579,model_1/expanded_conv_project_BN/FusedBatchNormV3;model_1/block_2_project/Conv2D;model_1/expanded_conv_project/Conv2D
Conv2D,Conv2D,NPU,148576,99.34738418743981,27888,6.518857890861491,27888,5856,1800,0,0,884736,17.55629214767402,12.392426850258175,model_1/block_1_expand_relu/Relu6;model_1/block_1_expand_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_1_expand/Conv2D
Conv2D,Relu6,NPU,148576,99.34738418743981,55776,13.037715781722982,55776,7056,0,0,0,110592,2.1945365184592527,0.774526678141136,model_1/block_1_expand_relu/Relu6;model_1/block_1_expand_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_1_expand/Conv2D
DepthwiseConv2D,DepthwiseConv2D,NPU,139216,93.08869155878891,6230,1.4562709645749816,4224,6230,120,0,0,248832,4.937707166533318,15.601926163723917,model_1/block_1_depthwise_relu/Relu6;model_1/block_1_depthwise_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_1_depthwise/depthwise
DepthwiseConv2D,Relu6,NPU,139216,93.08869155878891,5376,1.256647304262456,5376,4320,0,0,0,27648,0.5486341296148132,2.0089285714285716,model_1/block_1_depthwise_relu/Relu6;model_1/block_1_depthwise_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_1_depthwise/depthwise
Conv2D,Conv2D,NPU,37568,25.120359473627904,1332,0.31135680976145674,1332,1273,50,0,0,221184,4.389073036918505,64.86486486486487,model_1/block_1_project_BN/FusedBatchNormV3;model_1/block_2_project/Conv2D;model_1/block_1_project/Conv2D
