Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,20288,27.024722932651322,6717,7.533900871496349,6717,1301,122,0,0,442368,3.537317399966799,25.72577043322912,model/activation/Relu;model/batch_normalization/FusedBatchNormV3;model/conv2d/BiasAdd/ReadVariableOp/resource;model/conv2d/BiasAdd;model/conv2d_2/Conv2D;model/conv2d/Conv2D1
Conv2D,Relu,NPU,20288,27.024722932651322,8704,9.762553697410187,8704,1312,0,0,0,16384,0.1310117555543259,0.7352941176470589,model/activation/Relu;model/batch_normalization/FusedBatchNormV3;model/conv2d/BiasAdd/ReadVariableOp/resource;model/conv2d/BiasAdd;model/conv2d_2/Conv2D;model/conv2d/Conv2D1
Conv2D,Conv2D,NPU,35520,47.31457800511509,12845,14.407169375371536,12845,1960,80,0,0,2359296,18.86569279982293,71.74776177500974,model/activation_1/Relu;model/batch_normalization_1/FusedBatchNormV3;model/conv2d_1/BiasAdd/ReadVariableOp/resource;model/conv2d_1/BiasAdd;model/conv2d_2/Conv2D;model/conv2d_1/Conv2D1
Conv2D,Relu,NPU,35520,47.31457800511509,8704,9.762553697410187,8704,1312,0,0,0,16384,0.1310117555543259,0.7352941176470589,model/activation_1/Relu;model/batch_normalization_1/FusedBatchNormV3;model/conv2d_1/BiasAdd/ReadVariableOp/resource;model/conv2d_1/BiasAdd;model/conv2d_2/Conv2D;model/conv2d_1/Conv2D1
Conv2D,Conv2D,NPU,51904,69.13895993179881,12845,14.407169375371536,12845,1960,80,0,0,2359296,18.86569279982293,71.74776177500974,model/batch_normalization_2/FusedBatchNormV3;model/conv2d_2/BiasAdd/ReadVariableOp/resource;model/conv2d_2/BiasAdd;model/conv2d_2/Conv2D
Add,Add,NPU,51904,69.13895993179881,4096,4.594142916428323,4096,1536,0,0,0,0,0.0,0.0,model/activation_2/Relu;model/add/add
Add,Relu,NPU,51904,69.13895993179881,8704,9.762553697410187,8704,1312,0,0,0,16384,0.1310117555543259,0.7352941176470589,model/activation_2/Relu;model/add/add
Conv2D,Conv2D,NPU,30048,40.02557544757033,6712,7.528292786881568,6712,1476,80,0,0,1179648,9.432846399911465,68.65315852205006,model/activation_3/Relu;model/batch_normalization_3/FusedBatchNormV3;model/conv2d_3/BiasAdd/ReadVariableOp/resource;model/conv2d_3/BiasAdd;model/conv2d_5/Conv2D;model/conv2d_3/Conv2D1
Conv2D,Relu,NPU,30048,40.02557544757033,4608,5.168410780981864,4608,832,0,0,0,8192,0.06550587777716295,0.6944444444444444,model/activation_3/Relu;model/batch_normalization_3/FusedBatchNormV3;model/conv2d_3/BiasAdd/ReadVariableOp/resource;model/conv2d_3/BiasAdd;model/conv2d_5/Conv2D;model/conv2d_3/Conv2D1
Conv2D,Conv2D,NPU,43360,57.75788576300085,13224,14.83226218917191,13224,1538,40,0,0,2359296,18.86569279982293,69.69147005444646,model/batch_normalization_4/FusedBatchNormV3;model/conv2d_4/BiasAdd/ReadVariableOp/resource;model/conv2d_4/BiasAdd;model/conv2d_5/Conv2D;model/conv2d_4/Conv2D
