Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,8496,8.990856755841516,6425,16.29800618943737,6425,5503,0,0,0,160000,6.3877559493961975,9.727626459143968,functional_1/activation/Relu;functional_1/batch_normalization/FusedBatchNormV3;functional_1/conv2d/BiasAdd/ReadVariableOp/resource;functional_1/conv2d/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d/Conv2D1
Conv2D,Relu,NPU,8496,8.990856755841516,5200,13.190604231139973,5200,1000,0,0,0,8000,0.3193877974698099,0.6009615384615384,functional_1/activation/Relu;functional_1/batch_normalization/FusedBatchNormV3;functional_1/conv2d/BiasAdd/ReadVariableOp/resource;functional_1/conv2d/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d/Conv2D1
DepthwiseConv2D,DepthwiseConv2D,NPU,16000,16.931933626820182,5000,12.68327329917305,5000,541,0,0,0,72000,2.8744901772282887,5.625,functional_1/activation_1/Relu;functional_1/batch_normalization_1/FusedBatchNormV3;functional_1/depthwise_conv2d/depthwise;functional_1/depthwise_conv2d/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d/BiasAdd/ReadVariableOp/resource1
DepthwiseConv2D,Relu,NPU,16000,16.931933626820182,6500,16.488255288924965,6500,500,0,0,0,8000,0.3193877974698099,0.4807692307692308,functional_1/activation_1/Relu;functional_1/batch_normalization_1/FusedBatchNormV3;functional_1/depthwise_conv2d/depthwise;functional_1/depthwise_conv2d/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d/BiasAdd/ReadVariableOp/resource1
Conv2D,Conv2D,NPU,16000,16.931933626820182,2512,6.37207650550454,2512,1870,0,0,0,512000,20.440819038067833,79.61783439490446,functional_1/activation_2/Relu;functional_1/batch_normalization_2/FusedBatchNormV3;functional_1/conv2d_1/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_1/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d_1/Conv2D1
Conv2D,Relu,NPU,16000,16.931933626820182,4512,11.44538582517376,4512,762,0,0,0,8000,0.3193877974698099,0.6925975177304965,functional_1/activation_2/Relu;functional_1/batch_normalization_2/FusedBatchNormV3;functional_1/conv2d_1/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_1/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d_1/Conv2D1
DepthwiseConv2D,DepthwiseConv2D,NPU,16000,16.931933626820182,5000,12.68327329917305,5000,540,0,0,0,72000,2.8744901772282887,5.625,functional_1/activation_3/Relu;functional_1/batch_normalization_3/FusedBatchNormV3;functional_1/depthwise_conv2d_1/depthwise;functional_1/depthwise_conv2d_1/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d_1/BiasAdd/ReadVariableOp/resource1
DepthwiseConv2D,Relu,NPU,16000,16.931933626820182,6500,16.488255288924965,6500,500,0,0,0,8000,0.3193877974698099,0.4807692307692308,functional_1/activation_3/Relu;functional_1/batch_normalization_3/FusedBatchNormV3;functional_1/depthwise_conv2d_1/depthwise;functional_1/depthwise_conv2d_1/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d_1/BiasAdd/ReadVariableOp/resource1
Conv2D,Conv2D,NPU,16000,16.931933626820182,2512,6.37207650550454,2512,1870,0,0,0,512000,20.440819038067833,79.61783439490446,functional_1/activation_4/Relu;functional_1/batch_normalization_4/FusedBatchNormV3;functional_1/conv2d_2/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_2/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d_2/Conv2D1
Conv2D,Relu,NPU,16000,16.931933626820182,4512,11.44538582517376,4512,762,0,0,0,8000,0.3193877974698099,0.6925975177304965,functional_1/activation_4/Relu;functional_1/batch_normalization_4/FusedBatchNormV3;functional_1/conv2d_2/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_2/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d_2/Conv2D1
