Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,12960,62.451811873554355,12387,20.40288575569904,12387,790,7617,0,0,160000,6.3877559493961975,5.045612335513038,functional_1/activation/Relu;functional_1/batch_normalization/FusedBatchNormV3;functional_1/conv2d/BiasAdd/ReadVariableOp/resource;functional_1/conv2d/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d/Conv2D1
Conv2D,Relu,NPU,12960,62.451811873554355,19531,32.16991698511003,6632,390,19531,0,0,8000,0.3193877974698099,0.16000204802621473,functional_1/activation/Relu;functional_1/batch_normalization/FusedBatchNormV3;functional_1/conv2d/BiasAdd/ReadVariableOp/resource;functional_1/conv2d/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d/Conv2D1
DepthwiseConv2D,DepthwiseConv2D,NPU,16000,77.10100231303007,5000,8.235604163921465,5000,500,1562,0,0,72000,2.8744901772282887,5.625,functional_1/activation_1/Relu;functional_1/batch_normalization_1/FusedBatchNormV3;functional_1/depthwise_conv2d/depthwise;functional_1/depthwise_conv2d/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d/BiasAdd/ReadVariableOp/resource1
DepthwiseConv2D,Relu,NPU,16000,77.10100231303007,7324,12.063512979312163,1338,390,7324,0,0,8000,0.3193877974698099,0.4266794101583834,functional_1/activation_1/Relu;functional_1/batch_normalization_1/FusedBatchNormV3;functional_1/depthwise_conv2d/depthwise;functional_1/depthwise_conv2d/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d/BiasAdd/ReadVariableOp/resource1
Conv2D,Conv2D,NPU,20752,100.0,6249,10.292858084069048,4146,1788,6249,0,0,512000,20.440819038067833,32.00512081933109,functional_1/activation_2/Relu;functional_1/batch_normalization_2/FusedBatchNormV3;functional_1/conv2d_1/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_1/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d_1/Conv2D1
Conv2D,Relu,NPU,20752,100.0,6626,10.913822638028726,6626,390,2441,0,0,8000,0.3193877974698099,0.4716269242378509,functional_1/activation_2/Relu;functional_1/batch_normalization_2/FusedBatchNormV3;functional_1/conv2d_1/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_1/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d_1/Conv2D1
DepthwiseConv2D,DepthwiseConv2D,NPU,16000,77.10100231303007,5000,8.235604163921465,5000,500,1562,0,0,72000,2.8744901772282887,5.625,functional_1/activation_3/Relu;functional_1/batch_normalization_3/FusedBatchNormV3;functional_1/depthwise_conv2d_1/depthwise;functional_1/depthwise_conv2d_1/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d_1/BiasAdd/ReadVariableOp/resource1
DepthwiseConv2D,Relu,NPU,16000,77.10100231303007,7324,12.063512979312163,1338,390,7324,0,0,8000,0.3193877974698099,0.4266794101583834,functional_1/activation_3/Relu;functional_1/batch_normalization_3/FusedBatchNormV3;functional_1/depthwise_conv2d_1/depthwise;functional_1/depthwise_conv2d_1/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d_1/BiasAdd/ReadVariableOp/resource1
Conv2D,Conv2D,NPU,20752,100.0,6249,10.292858084069048,4146,1788,6249,0,0,512000,20.440819038067833,32.00512081933109,functional_1/activation_4/Relu;functional_1/batch_normalization_4/FusedBatchNormV3;functional_1/conv2d_2/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_2/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d_2/Conv2D1
Conv2D,Relu,NPU,20752,100.0,6626,10.913822638028726,6626,390,2441,0,0,8000,0.3193877974698099,0.4716269242378509,functional_1/activation_4/Relu;functional_1/batch_normalization_4/FusedBatchNormV3;functional_1/conv2d_2/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_2/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d_2/Conv2D1
DepthwiseConv2D,DepthwiseConv2D,NPU,16000,77.10100231303007,5000,8.235604163921465,5000,500,1562,0,0,72000,2.8744901772282887,5.625,functional_1/activation_5/Relu;functional_1/batch_normalization_5/FusedBatchNormV3;functional_1/depthwise_conv2d_2/depthwise;functional_1/depthwise_conv2d_2/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d_2/BiasAdd/ReadVariableOp/resource1
DepthwiseConv2D,Relu,NPU,16000,77.10100231303007,7324,12.063512979312163,1338,390,7324,0,0,8000,0.3193877974698099,0.4266794101583834,functional_1/activation_5/Relu;functional_1/batch_normalization_5/FusedBatchNormV3;functional_1/depthwise_conv2d_2/depthwise;functional_1/depthwise_conv2d_2/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d_2/BiasAdd/ReadVariableOp/resource1
Conv2D,Conv2D,NPU,20752,100.0,6249,10.292858084069048,4146,1788,6249,0,0,512000,20.440819038067833,32.00512081933109,functional_1/activation_6/Relu;functional_1/batch_normalization_6/FusedBatchNormV3;functional_1/conv2d_3/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_3/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/conv2d_3/Conv2D1
